time,open,high,low,close,tick_volume,spread,real_volume
2025-01-20 09:00:00,122910.0,123010.0,122905.0,122965.0,1499,0,17605
2025-01-20 09:01:00,122970.0,123010.0,122720.0,122720.0,7961,0,70905
2025-01-20 09:02:00,122720.0,122790.0,122615.0,122670.0,7078,0,65840
2025-01-20 09:03:00,122670.0,122690.0,122615.0,122645.0,3330,0,27170
2025-01-20 09:04:00,122645.0,122980.0,122625.0,122915.0,7112,0,71941
2025-01-20 09:05:00,122915.0,123090.0,122890.0,123075.0,8126,0,77506
2025-01-20 09:06:00,123080.0,123150.0,123025.0,123075.0,5305,0,60451
2025-01-20 09:07:00,123075.0,123195.0,123070.0,123185.0,4328,0,44524
2025-01-20 09:08:00,123185.0,123235.0,123125.0,123160.0,3756,0,42439
2025-01-20 09:09:00,123160.0,123165.0,123085.0,123130.0,2423,0,25550
2025-01-20 09:10:00,123135.0,123160.0,123090.0,123100.0,1961,0,17496
2025-01-20 09:11:00,123105.0,123110.0,123010.0,123020.0,3884,0,49679
2025-01-20 09:12:00,123020.0,123045.0,122975.0,122985.0,2838,0,27334
2025-01-20 09:13:00,122980.0,123095.0,122965.0,123085.0,3385,0,38871
2025-01-20 09:14:00,123085.0,123125.0,123045.0,123100.0,3418,0,33754
2025-01-20 09:15:00,123100.0,123180.0,123070.0,123165.0,3538,0,37539
2025-01-20 09:16:00,123170.0,123180.0,123010.0,123020.0,4485,0,53954
2025-01-20 09:17:00,123015.0,123050.0,122980.0,123005.0,2792,0,30479
2025-01-20 09:18:00,123000.0,123030.0,122935.0,122935.0,2585,0,26884
2025-01-20 09:19:00,122940.0,122945.0,122700.0,122795.0,9567,0,113456
2025-01-20 09:20:00,122800.0,122840.0,122765.0,122830.0,3640,0,35583
2025-01-20 09:21:00,122835.0,122835.0,122740.0,122770.0,2670,0,25152
2025-01-20 09:22:00,122770.0,122815.0,122770.0,122815.0,1572,0,15143
2025-01-20 09:23:00,122815.0,122825.0,122755.0,122785.0,1741,0,19167
2025-01-20 09:24:00,122785.0,122805.0,122730.0,122740.0,1713,0,20106
2025-01-20 09:25:00,122740.0,122800.0,122730.0,122785.0,1525,0,14647
2025-01-20 09:26:00,122790.0,122795.0,122760.0,122785.0,855,0,6458
2025-01-20 09:27:00,122785.0,122795.0,122730.0,122735.0,1199,0,11073
2025-01-20 09:28:00,122740.0,122760.0,122705.0,122715.0,2198,0,24971
2025-01-20 09:29:00,122710.0,122750.0,122705.0,122745.0,1387,0,12122
2025-01-20 09:30:00,122740.0,122860.0,122735.0,122820.0,4730,0,58574
2025-01-20 09:31:00,122820.0,122835.0,122745.0,122765.0,3261,0,34861
2025-01-20 09:32:00,122765.0,122810.0,122760.0,122800.0,1533,0,13391
2025-01-20 09:33:00,122795.0,122825.0,122760.0,122825.0,1567,0,20386
2025-01-20 09:34:00,122820.0,122835.0,122785.0,122810.0,1384,0,13961
2025-01-20 09:35:00,122810.0,122860.0,122800.0,122830.0,1880,0,20515
2025-01-20 09:36:00,122825.0,122885.0,122790.0,122870.0,2502,0,32128
2025-01-20 09:37:00,122875.0,122885.0,122825.0,122830.0,1767,0,15451
2025-01-20 09:38:00,122830.0,122850.0,122780.0,122780.0,2339,0,25557
2025-01-20 09:39:00,122785.0,122795.0,122735.0,122765.0,3073,0,31335
2025-01-20 09:40:00,122760.0,122780.0,122675.0,122745.0,4653,0,64179
2025-01-20 09:41:00,122745.0,122800.0,122740.0,122785.0,2551,0,29188
2025-01-20 09:42:00,122790.0,122840.0,122745.0,122770.0,3291,0,45185
2025-01-20 09:43:00,122770.0,122795.0,122740.0,122765.0,1184,0,10564
2025-01-20 09:44:00,122760.0,122795.0,122760.0,122780.0,772,0,6165
2025-01-20 09:45:00,122780.0,122780.0,122725.0,122725.0,1302,0,13583
2025-01-20 09:46:00,122730.0,122745.0,122690.0,122705.0,2686,0,27150
2025-01-20 09:47:00,122710.0,122715.0,122650.0,122685.0,3070,0,38036
2025-01-20 09:48:00,122685.0,122710.0,122675.0,122675.0,1469,0,12244
2025-01-20 09:49:00,122675.0,122705.0,122665.0,122705.0,1249,0,11462
2025-01-20 09:50:00,122700.0,122730.0,122690.0,122695.0,1809,0,15952
2025-01-20 09:51:00,122695.0,122715.0,122670.0,122700.0,1462,0,13089
2025-01-20 09:52:00,122700.0,122770.0,122695.0,122745.0,2768,0,31578
2025-01-20 09:53:00,122750.0,122770.0,122735.0,122755.0,1076,0,8555
2025-01-20 09:54:00,122750.0,122790.0,122715.0,122720.0,2103,0,20815
2025-01-20 09:55:00,122720.0,122800.0,122715.0,122795.0,1697,0,15008
2025-01-20 09:56:00,122790.0,122825.0,122780.0,122800.0,2378,0,24190
2025-01-20 09:57:00,122800.0,122840.0,122790.0,122825.0,1642,0,12955
2025-01-20 09:58:00,122820.0,122830.0,122755.0,122765.0,1966,0,24540
2025-01-20 09:59:00,122765.0,122800.0,122735.0,122770.0,2041,0,20348
2025-01-20 10:00:00,122770.0,122805.0,122720.0,122730.0,3060,0,34589
2025-01-20 10:01:00,122730.0,122735.0,122665.0,122735.0,4073,0,48842
2025-01-20 10:02:00,122730.0,122740.0,122655.0,122710.0,2518,0,29199
2025-01-20 10:03:00,122710.0,122830.0,122705.0,122805.0,4178,0,54654
2025-01-20 10:04:00,122800.0,122940.0,122785.0,122880.0,7808,0,97160
2025-01-20 10:05:00,122880.0,122930.0,122840.0,122865.0,4197,0,48926
2025-01-20 10:06:00,122865.0,122905.0,122830.0,122900.0,2845,0,26989
2025-01-20 10:07:00,122900.0,123035.0,122885.0,123020.0,6738,0,73759
2025-01-20 10:08:00,123025.0,123060.0,122965.0,123035.0,4659,0,49801
2025-01-20 10:09:00,123040.0,123080.0,122965.0,122985.0,3743,0,45583
2025-01-20 10:10:00,122980.0,123010.0,122935.0,122990.0,3403,0,39006
2025-01-20 10:11:00,122990.0,123040.0,122925.0,122950.0,3289,0,33836
2025-01-20 10:12:00,122945.0,122960.0,122865.0,122865.0,4001,0,47956
2025-01-20 10:13:00,122870.0,122870.0,122775.0,122800.0,5508,0,67300
2025-01-20 10:14:00,122800.0,122905.0,122795.0,122830.0,3739,0,43389
2025-01-20 10:15:00,122830.0,122860.0,122790.0,122800.0,2803,0,32676
2025-01-20 10:16:00,122800.0,122810.0,122725.0,122750.0,4562,0,53622
2025-01-20 10:17:00,122750.0,122780.0,122685.0,122705.0,3101,0,32428
2025-01-20 10:18:00,122705.0,122730.0,122615.0,122665.0,4819,0,60724
2025-01-20 10:19:00,122665.0,122685.0,122580.0,122590.0,4233,0,50926
2025-01-20 10:20:00,122590.0,122715.0,122580.0,122680.0,4671,0,56817
2025-01-20 10:21:00,122675.0,122685.0,122510.0,122565.0,6524,0,76222
2025-01-20 10:22:00,122565.0,122580.0,122495.0,122525.0,3857,0,42430
2025-01-20 10:23:00,122525.0,122610.0,122510.0,122595.0,2798,0,32950
2025-01-20 10:24:00,122600.0,122650.0,122530.0,122565.0,4371,0,50169
2025-01-20 10:25:00,122570.0,122590.0,122530.0,122540.0,2099,0,20073
2025-01-20 10:26:00,122535.0,122560.0,122470.0,122505.0,4088,0,51260
2025-01-20 10:27:00,122505.0,122550.0,122475.0,122480.0,2420,0,27920
